threshold,entries_kept,orig_bytes,comp_bytes,ratio,bypass_cnt,cycles
158,17,25728,1156,22.2561,17,6332
159,17,25728,1156,22.2561,17,6332
160,17,25728,1156,22.2561,17,6332
161,17,25728,1156,22.2561,17,6332
162,17,25728,1156,22.2561,17,6332
163,17,25728,1156,22.2561,17,6332
164,17,25728,1156,22.2561,17,6332
165,17,25728,1156,22.2561,17,6332
166,17,25728,1156,22.2561,17,6332
167,17,25728,1156,22.2561,17,6332
168,17,25728,1156,22.2561,17,6332
169,17,25728,1156,22.2561,17,6332
170,17,25728,1156,22.2561,17,6332
171,17,25728,1156,22.2561,17,6332
172,17,25728,1156,22.2561,17,6332
173,17,25728,1156,22.2561,17,6332
174,17,25728,1156,22.2561,17,6332
175,17,25728,1156,22.2561,17,6332
176,17,25728,1156,22.2561,17,6332
177,17,25728,1156,22.2561,17,6332
178,17,25728,1156,22.2561,17,6332
179,17,25728,1156,22.2561,17,6332
180,17,25728,1156,22.2561,17,6332
181,17,25728,1156,22.2561,17,6332
182,17,25728,1156,22.2561,17,6332
183,17,25728,1156,22.2561,17,6332
184,17,25728,1156,22.2561,17,6332
185,17,25728,1156,22.2561,17,6332
186,17,25728,1156,22.2561,17,6332
187,17,25728,1156,22.2561,17,6332
188,17,25728,1156,22.2561,17,6332
189,17,25728,1156,22.2561,17,6332
190,17,25728,1156,22.2561,17,6332
191,17,25728,1156,22.2561,17,6332
192,17,25728,1156,22.2561,17,6332
193,17,25728,1156,22.2561,17,6332
194,17,25728,1156,22.2561,17,6332
195,17,25728,1156,22.2561,17,6332
196,17,25728,1156,22.2561,17,6332
197,17,25728,1156,22.2561,17,6332
198,17,25728,1156,22.2561,17,6332
199,17,25728,1156,22.2561,17,6332
200,17,25728,1156,22.2561,17,6332
201,17,25728,1156,22.2561,17,6332
202,17,25728,1156,22.2561,17,6332
203,17,25728,1156,22.2561,17,6332
204,17,25728,1156,22.2561,17,6332
205,17,25728,1156,22.2561,17,6332
206,17,25728,1156,22.2561,17,6332
207,17,25728,1156,22.2561,17,6332
208,17,25728,1156,22.2561,17,6332
209,17,25728,1156,22.2561,17,6332
210,17,25728,1156,22.2561,17,6332
211,17,25728,1156,22.2561,17,6332
212,17,25728,1156,22.2561,17,6332
213,17,25728,1156,22.2561,17,6332
214,17,25728,1156,22.2561,17,6332
215,17,25728,1156,22.2561,17,6332
216,17,25728,1156,22.2561,17,6332
217,17,25728,1156,22.2561,17,6332
218,17,25728,1156,22.2561,17,6332
219,17,25728,1156,22.2561,17,6332
220,17,25728,1156,22.2561,17,6332
221,17,25728,1156,22.2561,17,6332
222,17,25728,1156,22.2561,17,6332
223,17,25728,1156,22.2561,17,6332
224,17,25728,1156,22.2561,17,6332
225,17,25728,1156,22.2561,17,6332
226,17,25728,1156,22.2561,17,6332
227,17,25728,1156,22.2561,17,6332
228,17,25728,1156,22.2561,17,6332
229,17,25728,1156,22.2561,17,6332
230,17,25728,1156,22.2561,17,6332
231,17,25728,1156,22.2561,17,6332
232,17,25728,1156,22.2561,17,6332
233,17,25728,1156,22.2561,17,6332
234,17,25728,1156,22.2561,17,6332
235,17,25728,1156,22.2561,17,6332
236,17,25728,1156,22.2561,17,6332
237,17,25728,1156,22.2561,17,6332
238,17,25728,1156,22.2561,17,6332
239,17,25728,1156,22.2561,17,6332
240,17,25728,1156,22.2561,17,6332
241,17,25728,1156,22.2561,17,6332
242,17,25728,1156,22.2561,17,6332
243,17,25728,1156,22.2561,17,6332
244,17,25728,1156,22.2561,17,6332
245,17,25728,1156,22.2561,17,6332
246,17,25728,1156,22.2561,17,6332
247,17,25728,1156,22.2561,17,6332
248,17,25728,1156,22.2561,17,6332
249,17,25728,1156,22.2561,17,6332
250,17,25728,1156,22.2561,17,6332
251,17,25728,1156,22.2561,17,6332
252,17,25728,1156,22.2561,17,6332
253,17,25728,1156,22.2561,17,6332
254,17,25728,1156,22.2561,17,6332
255,17,25728,1156,22.2561,17,6332
